timestamp,team_name,first_name,last_name,email,school,class_year,major,participation,diet,tshirt_size,is_stat,is_math,is_cs,is_eng,is_ns,is_ss,is_other,role,affiliation,title,preference,photo,shift_preference,hours_preference
4/1/2017 20:14:05,The Pit,James,Andrews,james.andrews@pcu.edu,Port Chester University,First-year,computer science,No,No dietary restrictions,Large,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
3/31/2017 23:55:00,Passive Regression,Amanda,Boyd,amanda.boyd@pcu.edu,Port Chester University,First-year,data science,No,No dietary restrictions,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Participant,NA,NA,NA,NA,NA,NA
4/3/2017 16:14:00,Fake iid's,Carolyn,Byrd,carolyn.byrd@hu.edu,Harrison University,Sophomore,statistics,No,No dietary restrictions,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
3/31/2017 23:55:00,Passive Regression,Rosa,Fox,rosa.fox@pcu.edu,Port Chester University,First-year,"computer science, mathematics",No,No dietary restrictions,Large,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/2/2017 22:20:05,Bae's Theorem,Adrienne,Fuller,adrienne.fuller@faber.edu,Faber College,Sophomore,"natural sciences (biology, chemistry, etc.)",Yes,No dietary restrictions,Small,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
3/31/2017 23:55:00,Passive Regression,Lucas,Gonzales,lucas.gonzales@pcu.edu,Port Chester University,First-year,statistics,No,No dietary restrictions,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/4/2017 1:03:26,Bayes Anatomy,Meredith,Gray,mgray@googlemail.com,Faber College,First-year,pre-med,No,No dietary restrictions,Small,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Participant,NA,NA,NA,NA,NA,NA
4/3/2017 16:14:00,Fake iid's,Gordon,Hawkins,gordon.hawkins@hu.edu,Harrison University,Sophomore,statistics,Yes,No dietary restrictions,Small,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/2/2017 22:20:05,Bae's Theorem,Sylvia,Hicks,sylvia.hicks@faber.edu,Faber College,Sophomore,computer science,No,Lacto Vegetarian,Large,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/1/2017 20:14:05,The Pit,Tom,Lawrence,tom.lawrence@pcu.edu,Port Chester University,First-year,statistics,No,No dietary restrictions,Large,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/3/2017 16:14:00,Fake iid's,Cecilia,Pittman,cecilia.pittman@hu.edu,Harrison University,Sophomore,"statistics, mathematics",Yes,No dietary restriction,Small,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/3/2017 16:14:00,Fake iid's,Paul,Rios,paul.rios@hu.edu,Harrison University,Junior,"computer science, statistics",No,Gluten Free,Medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/3/2017 16:14:00,Fake iid's,Ryan,Rose,rose.ryan@hu.edu,Harrison University,Junior,statistics,Yes,No dietary restrictions,X-Large,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/4/2017 1:03:26,Bayes Anatomy,Derek,Shepherd,derek@googlemail.com,Faber College,Junior,"mathematics, pre-law",No,No dietary restrictions,Large,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/2/2017 22:20:05,Bae's Theorem,Toni,Simpson,toni.simpson@faber.edu,Faber College,Sophomore,mathematics,No,No dietary restrictions,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/2/2017 22:20:05,Bae's Theorem,Vicky,Water,vicky.water@faber.edu,Faber College,Senior,statistics,Yes,No dietary restrictions,Small,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Participant,NA,NA,NA,NA,NA,NA
4/3/2017 23:36:57,NA,Jugdy,McJudgerson,judgy.mcjudgerson@judgers.com,NA,NA,NA,NA,NA,Small,NA,NA,NA,NA,NA,NA,NA,Judge,"Judging, Inc.",Judge,Round 2 - roughly 3-5pm,I understand that during this event my picture may be taken and might be posted on social media and/or the event website.,NA,NA
4/3/2017 23:38:41,NA,Judy,Sheindlin,judy@judgejudy.com,NA,NA,NA,NA,NA,Small,NA,NA,NA,NA,NA,NA,NA,Judge,CBS,Judge,"No preference, but I can only do one",I understand that during this event my picture may be taken and might be posted on social media and/or the event website.,NA,NA
4/3/2017 23:40:02,NA,Tanya,Acker,tanya.acker@hotbench.com,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,Judge,HotBench,Judge,"No preference, and if need be I can do both (Note: This is unlikely, to be used only if a few judges need to drop out at the last minute.)",I understand that during this event my picture may be taken and might be posted on social media and/or the event website.,NA,NA
4/3/2017 22:20:21,NA,Clifford,Norris,clifford.norris@gmail.com,NA,NA,NA,NA,NA,Large,NA,NA,NA,NA,NA,NA,NA,Consultant,Google,Data Scientist,NA,I understand that during this event my picture may be taken and might be posted on social media and/or the event website.,"Saturday - 4-6pm, Saturday - 6-8pm, Saturday - 8-10pm",6 or fewer
4/3/2017 22:21:25,NA,Kaye,Garnet,kaye.garnet@gmail.com,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,Consultant,RStudio,Data Scientist,NA,I understand that during this event my picture may be taken and might be posted on social media and/or the event website.,"Friday - 8-10pm, Friday - 10-12pm",2
